# Paso Energía_Potencial Energía_Cinética Energía_Total
0 18.67543520698601 0.011690681762763354 18.687125888748774
1 18.647692129595846 0.04672685818334832 18.694418987779194
2 18.60153088351818 0.1050205982874495 18.70655148180563
3 18.537063277347688 0.18643863672378222 18.72350191407147
4 18.454443441237785 0.2908026589273198 18.745246100165105
5 18.353867487654952 0.4178896741610877 18.77175716181604
6 18.235573086848532 0.5674324756597162 18.803005562508247
7 18.0998389579261 0.7391201869280501 18.83895914485415
8 17.94698427659242 0.9325988930801494 18.87958316967257
9 17.777368000773315 1.1474723559383273 18.92484035671164
10 17.591388115509574 1.3833028114487733 18.974690926958345
11 17.38948079866435 1.6396118478101238 19.029092646474474
12 17.172119509144984 1.9158813625543796 19.088000871699364
13 16.939813999492003 2.2115545966661414 19.151368596158143
14 16.693109254837925 2.526037243676524 19.219146498514448
15 16.432584360383444 2.858698631522622 19.291282991906066
16 16.158851299679323 3.2088729748223312 19.367724274501654
17 15.872553686138309 3.575860695077877 19.448414381216185
18 15.574365430333364 3.9589298061899854 19.53329523652335
19 15.264989345763812 4.357317362538294 19.622306708302105
20 14.945155695892524 4.770230966762805 19.715386662655327
21 14.61562068537214 5.196850334265979 19.812471019638117
22 14.27716489848785 5.636328911345809 19.91349380983366
23 13.930591687947459 6.087795543767024 20.018387231714485
24 13.576725517246505 6.550356192480713 20.127081709727218
25 13.21641025992726 7.023095693112288 20.239505953039547
26 12.850507459133768 7.505079555753908 20.355587014887675
27 12.479894550942983 7.995355801520722 20.475250352463704
28 12.10546305502191 8.492956832260177 20.598419887282084
29 11.728116736224274 8.996901329740986 20.72501806596526
30 11.348769740796186 9.50619618059257 20.854965921388754
31 10.968344710908887 10.019838423217632 20.98818313412652
32 10.587770881278345 10.536817212859528 21.124588094137874
33 10.20798216166548 11.056115800972826 21.264097962638306
34 9.829915209076727 11.576713525019471 21.4066287340962
35 9.454507493504071 12.097587804794872 21.552095298298944
36 9.082695361054736 12.61771614137751 21.700411502432246
37 8.715412098324347 13.136078114792715 21.85149021311706
38 8.353586001863118 13.65165737648596 22.00524337834908
39 7.998138456573703 14.163443632713305 22.16158208928701
40 7.649982026859528 14.6704346149765 22.32041664183603
41 7.310018564315854 15.171638033657782 22.481656597973636
42 6.979137335721962 15.666073511044251 22.64521084676621
43 6.658213175050799 16.152774489974266 22.810987665025067
44 6.348104663163643 16.630790114387835 22.978894777551478
45 6.049652338801299 17.099187078120064 23.148839416921362
46 5.763676944419876 17.55705143834081 23.320728382760684
47 5.490977710349222 18.00349039011469 23.494468100463912
48 5.232330680674631 18.437633998633537 23.669964679308166
49 4.988487084159063 18.858636885758145 23.847123969917206
50 4.7601717534325445 19.265679867597036 24.02585162102958
51 4.548081595579224 19.657971539947706 24.20605313552693
52 4.352884117149287 20.03474980852924 24.38763392567853
53 4.175216006514932 20.395283361044953 24.570499367559886
54 4.015681776374679 20.738873078228774 24.754554854603455
55 3.874852469091086 21.064853381150055 24.93970585024114
56 3.7532644274212577 21.372593512177442 25.1258579395987
57 3.6514181330701376 21.661498747133535 25.312916880203673
58 3.5697771153614584 21.931011536307746 25.500788651669204
59 3.5087669321821187 22.180612572135264 25.689379504317383
60 3.4687742252125333 22.4098217814942 25.878596006706733
61 3.4501458513081493 22.618199240721722 26.068345092029872
62 3.4531880917465565 22.8053460116017 26.258534103348257
63 3.478165940900564 22.97090489673201 26.449070837632572
64 3.5253024757403733 23.114561112837812 26.639863588578187
65 3.594778307408523 23.236042880758404 26.830821188166926
66 3.6867311159487803 23.335121930998607 27.02185304694739
67 3.8012552691065675 23.411613923901278 27.212869193007847
68 3.9384015259520675 23.46537878366498 27.403780309617048
69 4.09817682591062 23.49632094559947 27.594497771510092
70 4.280544163616199 23.50438951618162 27.78493367979782
71 4.485422549835381 23.489578345645143 27.975000895480523
72 4.7126870585394585 23.451926013008304 28.164613071547763
73 4.962168960033312 23.391515723615477 28.353684683648787
74 5.233655939880608 23.30847511943888 28.542131059319487
75 5.5268924031963405 23.202976002557627 28.72986840575397
76 5.841579863710487 23.07523397240067 28.91681383611116
77 6.177377416840363 22.925507977508452 29.102885394348817
78 6.533902295844705 22.754099782735093 29.288002078579797
79 6.910730509970146 22.561353352977633 29.47208386294778
80 7.307397563340171 22.347654154681777 29.655051718021948
81 7.723399253179316 22.113428376533882 29.8368276297132
82 8.158192545810117 21.85914207090608 30.017334616716198
83 8.611196528709282 21.585300217776293 30.196496746485575
84 9.081793436760833 21.29244571299522 30.374239149756054
85 9.569329750700142 20.981158282920163 30.550488033620304
86 10.073117365601828 20.652053327578468 30.725170693180296
87 10.592434827129741 20.30578069466237 30.89821552179211
88 11.126528633134308 19.943023386791772 31.06955201992608
